planner,map_type,obstacle_ratio,agents,steps,seeds,vanilla_throughput_mean,vanilla_throughput_std,neural_throughput_mean,neural_throughput_std,throughput_improvement_pct,vanilla_wait_ratio_mean,neural_wait_ratio_mean,vanilla_no_progress_ratio_mean,neural_no_progress_ratio_mean,vanilla_stuck_ratio_mean,neural_stuck_ratio_mean,vanilla_collisions_mean,neural_collisions_mean
greedy,random_obstacle,0.15,16,500,"1,2,3,4,5",0.6856,0.05068175214019342,0.6963999999999999,0.016463292501805317,1.5752625437572814,0.03885000000000001,0.007200000000000001,0.052000000000000005,0.01745,0.034675,0.002775,0.0,0.0
greedy,random_obstacle,0.15,24,500,"1,2,3,4,5",0.8276,0.21998690870140433,1.0328000000000002,0.024350770008359102,24.794586756887405,0.17414999999999997,0.0099,0.19441666666666665,0.022933333333333333,0.16681666666666667,0.0018666666666666669,0.0,0.0
greedy,random_obstacle,0.15,32,500,"1,2,3,4,5",0.9520000000000002,0.2552426296683216,1.3408000000000002,0.0448214234490606,40.84033613445378,0.292,0.025475000000000005,0.3103125,0.045450000000000004,0.28083749999999996,0.0160625,0.0,0.0
greedy,random_obstacle,0.15,40,500,"1,2,3,4,5",1.212,0.3705412257765659,1.6224,0.07853050362757134,33.86138613861387,0.26454,0.05169,0.2934,0.07248999999999999,0.25339,0.039319999999999994,5.6,0.0
